,0,1,2,3,4,5,6,7
138,-3224.189,-5854.377,-3410.064,-5899.851,-5589.446,-4687.679,-4726.475,-7252.549
139,-3168.274,-1362.432,-3281.98,-1763.781,-837.557,-3309.946,-2961.702,-7237.531
140,-3168.021,345.71,-3205.757,351.679,381.746,-1892.102,-1751.246,-7278.372
141,-3202.447,-1910.562,-3236.28,-1576.776,-2107.543,-1871.975,-2077.034,-7318.991
142,-3247.841,-5907.403,-3369.234,-5449.364,-6193.641,-3548.494,-3980.871,-7313.124
143,-3224.035,-5862.874,-3409.223,-5905.898,-5600.117,-4685.288,-4726.856,-7252.577
144,-3167.95,-1371.066,-3281.236,-1772.471,-846.702,-3313.627,-2964.797,-7237.241
145,-3167.57,353.661,-3204.487,358.118,389.7,-1889.569,-1746.486,-7278.125
146,-3246.956,-5878.889,-3365.843,-5418.8,-6168.907,-3522.85,-3957.906,-7313.224
147,-3221.032,-6000.946,-3403.096,-6021.536,-5762.831,-4699.322,-4763.965,-7250.094
148,-3199.115,-1763.346,-3225.954,-1434.246,-1956.931,-1825.326,-2020.941,-7318.185
149,-3167.316,361.824,-3203.678,362.781,399.941,-1891.804,-1746.537,-7277.987
150,-3223.417,-5900.436,-3407.749,-5936.509,-5644.437,-4686.12,-4735.313,-7252.007
151,-3165.433,-1469.267,-3277.995,-1878.321,-947.484,-3362.117,-3013.709,-7234.042
152,-3244.969,-5831.538,-3359.552,-5368.408,-6124.992,-3486.53,-3923.367,-7313.153
153,-3201.152,-1842.081,-3231.822,-1510.894,-2038.19,-1849.102,-2049.909,-7318.687
154,-3220.084,-6029.091,-3401.255,-6044.881,-5795.263,-4701.314,-4770.921,-7249.556
155,-3165.148,-1486.591,-3277.743,-1895.469,-965.09,-3374.154,-3024.433,-7233.669
156,-3167.042,-1425.387,-3280.072,-1826.055,-897.341,-3340.444,-2991.551,-7235.873
157,-3197.377,-1704.049,-3221.472,-1377.579,-1896.709,-1805.354,-1997.809,-7317.767
158,-3164.403,-1511.843,-3276.533,-1920.152,-990.986,-3386.359,-3036.796,-7233.02
159,-3164.716,-1501.341,-3277.062,-1909.637,-981.86,-3379.604,-3030.479,-7233.268
160,-3164.172,395.101,-3196.621,378.979,438.661,-1902.381,-1745.156,-7275.864
161,-3198.077,-1720.773,-3223.017,-1393.239,-1914.194,-1811.041,-2004.56,-7318.027
162,-3243.133,-5806.484,-3354.873,-5338.915,-6104.241,-3459.982,-3900.682,-7312.704
163,-3163.672,-1527.1,-3275.616,-1935.267,-1005.411,-3392.269,-3043.28,-7232.361
164,-3162.979,400.432,-3194.493,381.323,445.84,-1905.199,-1745.887,-7275.101
165,-3196.665,-1688.534,-3220.025,-1363.079,-1880.426,-1801.301,-1992.612,-7317.445
166,-3241.743,-5780.747,-3351.405,-5311.569,-6080.069,-3441.952,-3882.592,-7312.515
167,-3219.769,-6039.509,-3400.344,-6053.012,-5808.454,-4701.164,-4772.78,-7249.573
168,-3163.247,-1539.879,-3274.965,-1949.694,-1019.425,-3398.094,-3049.671,-7232.038
169,-3162.311,401.123,-3193.472,380.082,447.56,-1908.05,-1747.841,-7274.579
170,-3195.091,-1664.865,-3217.183,-1340.695,-1854.437,-1795.929,-1984.342,-7316.521
171,-3241.159,-5769.377,-3349.899,-5299.494,-6069.279,-3434.738,-3875.241,-7312.479
172,-3219.352,-6052.029,-3399.456,-6063.146,-5823.148,-4702.332,-4775.683,-7249.409
173,-3162.719,-1555.322,-3274.317,-1965.081,-1031.777,-3405.73,-3056.687,-7231.546
174,-3240.41,-5757.116,-3348.241,-5286.561,-6057.388,-3426.897,-3867.374,-7312.241
175,-3218.882,-6063.081,-3398.487,-6071.607,-5836.945,-4702.522,-4778.043,-7249.197
176,-3162.132,-1571.119,-3273.609,-1981.119,-1048.106,-3412.282,-3064.198,-7231.007
